case_id,step,time,voltage,accepted_dt,rejected_step_count,pass_metric,vof_mass_relative_error,charge_mass_error,max_electric_field,max_velocity_increment,cone_angle_degrees,jet_radius,whipping_offset,whipping_rms_radius,droplet_count,detached_droplet_count,mean_droplet_diameter,mean_charge_to_mass_ratio,plume_divergence_degrees
P4_oxidized_severe,1,3.125e-05,0.00625,3.125e-05,5,9.86111113321364e-06,9.86111113321364e-06,-5.954381454564839e-07,2.0286999259886782e-05,3.237117275446156e-05,14.96487398385168,0.035,2.7298334028395404e-11,0.09799964980526825,1,0,0.4734159237758977,4.043516259445752e-07,0.003236090857939833
P4_oxidized_severe,2,6.25e-05,0.0125,3.125e-05,5,9.861129987687178e-06,9.861129987687178e-06,0.00025989003858861714,0.049711768535833534,5.8216723023349856e-05,14.964901315432154,0.035,1.2986956968304498e-10,0.09800851236015369,1,0,0.47341581728216386,4.044525232493987e-07,0.007094111289217735
P4_oxidized_severe,3,7.8125e-05,0.015625,1.5625e-05,6,5.196629521586615e-06,5.196629521586615e-06,0.0002601421206656074,0.09942352134803857,3.1072706402291056e-05,14.964916670498221,0.035,1.845477255382157e-10,0.09801296342805466,1,0,0.47341580508911374,4.0455543025366525e-07,0.015301983026482127
P4_oxidized_severe,4,9.375e-05,0.018750000000000003,1.5625e-05,6,5.393906069128818e-06,5.393906069128818e-06,0.00032517873360515814,0.12427940159855176,3.106049691603174e-05,14.964937359876966,0.035,2.518541350385923e-10,0.09801741606393947,1,0,0.4734158231333326,4.046845169031462e-07,0.028454164024490917
